,sentence
547,"Napisa|NNP na|CCP ang|DTC itlog|NNC .|PMP
"
548,"Lumabas|VBAF mula|RBW doon|PRL ang|DTC maliit|JJD na|CCP uod|NNC Setyembre|NNP 12|CDB ,|PMC Linggo|NNP .|PMP
"
549,"Mabilis|RBD na|CCP lumaki|VBAF ng|CCB uod|NNC .|PMP
"
550,"Magaling|JJD na|CCP kasi|CCR itong|PRO_CCP kumain|VBAF .|PMP
"
551,"Kinakain|VBTR niya|PRS ang|DTC dahon|NNC na|CCP kinadidikitan|VBOF niya|PRS .|PMP
"
552,"Setyembre|NNP 18|CDB ,|PMC Sabado|NNP .|PMP
"
553,"Mas|JJCC lalo|JJCC pang|RBI_CCP lumaki|VBAF ang|DTC uod|NNC .|PMP
"
554,"Nagpalipat|NNP -|PMS lipat|FW na|CCP siya|PRS sa|CCT iba|PRI -|PMS ibang|PRI_CCP dahon|NNC at|CCA kumain|VBAF ng|CCB marami|PRI .|PMP
"
555,"Setyembre|NNP 20|CDB ,|PMC Lunes|NNP .|PMP
"
556,"Nawala|VBTS na|RBI ang|DTC uod|NNC sa|CCT doon|PRL mga|DTCP dahon|NNC ,|PMC pero|CCT sa|CCT malapit|JJD na|CCP sanga|NNC ,|PMC meron|VBH akong|PRS_CCP nakitang|VBTS_CCP nakabitin|VBTS at|CCA nababalot|VBTR sa|CCT berdeng|JJD_CCP dahon|NNC .|PMP
"
557,"Setyembre|NNP 25|CDB ,|PMC Sabado|NNP .|PMP
"
558,"Wala|VBN namang|RBI_CCP nagbago|VBTS sa|CCT kulay|NNC berdeng|JJD_CCP bagay|NNC na|CCP nakabitin|VBTS .|PMP
"
559,"Pareho|JJC pa|RBI rin|RBI ang|DTC itsura|NNC at|CCA ang|DTC kulay|NNC nito|PRO .|PMP
"
560,"Setyembre|NNP 30|CDB ,|PMC Huwebes|NNP .|PMP
"
561,"Wala|VBN pa|RBI ring|RBI_CCP nagbabago|VBTR sa|CCT kulay|NNC berdeng|JJD_CCP bagay|NNC na|CCP nakabitin|VBTS .|PMP
"
562,"Ano|PRQ kaya|CCR ang|DTC nasa|RBL loob|NNC nun|NNCA ?|PMQ
"
563,"Oktubre|NNP 5|CDB ,|PMC Martes|NNP .|PMP
"
564,"Naiinip|VBTS na|CCP ako|PRS sa|CCT paghihintay|NNC kulay|NNC berdeng|JJD_CCP bagay|NNC na|CCP nakabitin|VBTS .|PMP
"
565,"Ano|PRQ kaya|CCR ang|DTC laman|NNC nun|NNC ?|PMQ
"
566,"Oktubre|NNP 8|CDB ,|PMC Biyernes|NNP .|PMP
"
567,"ΓÇ£|PMS Ah|RBJ !|PMQ
"
568,"Alam|VBS ko|PRS na|CCP ,|PMC paruparo|JJD pala|NNC ang|DTC nasa|RBL loob|NNC nung|RBW_CCP berdeng|JJD_CCP nakabitin|VBTS .|PMP
"
569,"Nagsimula|VBTS sa|CCT itlog|NNC ,|PMC naging|VBTS uod|NNC ,|PMC at|CCA pagkalipas|VBW ng|CCB ilang|PRQ_CCP araw|NNC ang|DTC uod|NNC ay|LM naging|VBTS paruparo|RBD na|RBI ,|PMC ΓÇ¥|NNCA manghang|VBW_CCP sabi|VBS ni|DTP Kakay|NNP .|PMP
"
570,"Oktubre|NNP 11|CDB ,|PMC Lunes|NNP .|PMP
"
571,"May|VBH napulot|VBTS na|CCP naman|RBI akong|PRS_CCP maliit|JJD na|CCP parang|CCT bato|NNC .|PMP
"
572,"Kulay|NNP dilaw|JJD ito|PRO na|CCP napakakintab|JJCS_JJD .|PMP
"
573,"Nang|RBW inilagay|VBOF ko|PRS ito|PRO sa|CCT palad|NNC ko|PRS ,|PMC lumipad|VBAF naman|RBI ito|PRO na|CCP parang|CCT paruparo|JJD lang|RBI .|PMP
"
574,"the|DTC Philippines|NNP project|FW and|FW licensed|FW under|FW the|FW Creative|NNP Commons|NNP Attribution|NNP -|PMS NonCommercial|NNP 4|CDB .|PMP
"
575,"0|CDB International|NNP License|NNP .|PMP
"
576,"ΓÇ¥|PMS Noong|RBW_CCP unang|JJN_CCP panahon|NNC ,|PMC kaunti|PRI pa|RBI lamang|RBI ang|DTC nakatira|VBTS sa|CCT Sumagang|NNC .|PMP
"
577,"Wala|VBN kasing|JJC ibang|PRI_CCP pinagkukunan|VBTR_VBRF ng|CCB tubig|NNC ang|DTC mga|DTCP tao|NNC kundi|CCT tubig|NNC -|PMS ulan|NNC lamang|RBI .|PMP
"
578,"Isa|PRI sa|CCT mga|DTCP grupong|NNC_CCP nakatira|VBTS sa|CCT Sumagang|NNP ay|LM ang|DTC tribo|NNC ng|CCB Cimarron|NNP .|PMP
"
579,"Si|DTP Apo|NNP Iraya|NNP ang|DTC mamumuno|VBW sa|CCT Tribo|NNP .|PMP
"
580,"May|VBH isa|PRI siyang|PRS_CCP anak|NNC na|CCP lalaki|NNC na|CCP ang|DTC pangalan|NNC ay|LM Iraga|NNP .|PMP
"
581,"Pagtatanim|NNP at|CCA panghuhuli|NNC ng|CCB mga|DTCP ilahas|NNC na|CCP hayop|NNC ang|DTC kanilang|PRSP_CCP ikinabubuhay|NNC .|PMP
"
582,"Kaya|CCR ,|PMC laging|RBD_CCP nasa|RBL bukid|NNC ang|DTC mga|DTCP lalaking|NNC_CCP Cimarron|NNP upang|CCB magbantay|VBW ng|CCB mga|DTCP pananim|NNC at|CCA manilo|NNC ng|CCB baboy|NNC -|PMS damo|NNC .|PMP
"
583,"Si|DTP Iraga|NNP ang|DTC pinakamasipag|JJCS_JJD na|CCP manananim|VBW sa|CCT buong|PRI_CCP tribo|NNC .|PMP
"
584,"Siya|PRS ang|DTC may|VBH pinakamalawak|JJCS_JJD na|CCP taniman|NNC ng|CCB saging|NNC ,|PMC kamote|NNC at|CCA kamoteng|NNC -|PMS kahoy|NNC .|PMP
"
585,"Kaya|CCR ,|PMC pinag|VBTR_VBRF -|PMS aagawan|VBTF ng|CCB husto|JJD ang|DTC mga|DTCP ani|NNC niya|PRS tuwing|RBW siya|PRS ay|LM umuuwi|VBTR_VBAF .|PMP
"
586,"Biglang|RBD_CCP dumating|VBAF ang|DTC mahabang|JJD_CCP tag|FW -|PMS init|NNC .|PMP
"
587,"Di|RBF man|RBI lang|RBI umuulan|VBTR_VBAF .|PMP
"
588,"Kaya|CCR nagsimula|VBTS nang|RBW magsialisan|VBW ang|DTC ibang|PRI_CCP mga|DTCP tao|NNC sa|CCT Sumagang|NNC .|PMP
"
589,"Ang|DTC tanging|JJD_CCP naiwan|VBTS ay|LM ang|DTC mga|DTCP Cimarron|NNP .|PMP
"
590,"Naniniwala|VBTR sila|PRP na|CCP tutulungan|VBTF sila|PRP ni|DTP Gugurang|NNP (|PMS Diyos|NNP )|PMS .|PMP
"
591,"Kaya|CCR araw|NNC -|PMS araw|RBW silang|PRP_CCP naghanda|VBTS at|CCA nag|VBTS -|PMS alay|NNC kay|DTP Gugurang|NNP upang|CCB umulan|VBAF .|PMP
"
592,"Ngunit|CCT ano|PRQ kaya|CCR ΓÇÖ|NNCA yon|PRO at|CCA lalo|JJCC namang|RBI_CCP uminit|VBAF ng|CCB husto|JJD ang|DTC panahon|NNC !|PMS
"
593,"ΓÇ£|PMS Mga|DTCP kapatid|NNC ,|PMC di|RBF na|RBI magtatagal|VBTF ay|LM maghihirap|VBTF at|CCA magugutom|VBTF tayo|PRP rito|PRL .|PMP
"
594,"Kailangan|VBS na|CCP nating|PRP_CCP makiusap|VBW kay|DTP Gugurang|NNP ,|PMC ΓÇ¥|CDB malungkot|JJD na|CCP sabi|VBS ni|DTP Apo|NNP Iraya|NNP .|PMP
"
595,"Kailangan|VBS na|CCP nilang|PRP_CCP humingi|VBAF ng|CCB tulong|NNC .|PMP
"
596,"Ngunit|CCT makakausap|VBW lamang|RBI nila|PRP si|DTP Gugurang|NNP_CCP kung|CCR sasadyain|VBTF nila|PRP ito|PRO doon|PRL sa|CCT pinakaitaas|JJCS_JJD na|CCP parte|NNC ng|CCB bundok|NNC .|PMP
"
597,"Isang|PRI_CCP araw|NNC ,|PMC inutusan|VBOF ni|DTP Apo|NNP Iraya|NNP ang|DTC lahat|PRI na|CCP lalaking|NNC_CCP Cimarron|NNP na|CCP umakyat|VBAF sa|CCT tuktok|NNC ng|CCB Bundok|NNP Asog|NNP .|PMP
"
598,"ΓÇ£|PMS Sasama|VBTF po|RBS ako|PRS sa|CCT kanila|PRSP .|PMP
"
599,"Nais|VBS ko|PRS pong|PRO_CCP makatulong|VBW ,|PMC ΓÇ¥|PMS pakiusap|NNC ni|DTP Iraga|NNP .|PMP
"
600,"Ayaw|RBF sanang|VBS_CCP payagan|VBOF ni|DTP Apo|NNP Iraya|NNP na|CCP pasamahin|VBOF ang|DTC kaniyang|PRSP_CCP kaisa|NNC -|PMS isa|PRI anak|NNC .|PMP
"
601,"Ngunit|CCT ,|PMC para|CCT sa|CCT ikabubuti|NNC ng|CCB kaniyang|PRSP_CCP katribo|NNC ,|PMC pinasama|VBOF niya|PRS si|DTP Iraga|NNP .|PMP
"
602,"Nang|RBW araw|RBW ring|RBI_CCP ΓÇÖ|PMS yon|PRO ,|PMC inakyat|VBTS nila|PRP ito|PRO ni|DTP Iraga|NNP .|PMP
"
603,"Hiwa|NNP -|PMS hiwalay|JJD nilang|PRP_CCP binagtas|VBOF ang|DTC mga|DTCP daan|NNC papuntang|RBL_CCP bundok|NNC .|PMP
"
604,"Madulas|NNP ang|DTC daan|NNC at|CCA marami|PRI silang|PRP_CCP bangin|NNC na|CCP dinaanan|VBTR .|PMP
"
605,"Dahil|CCR sa|CCT sobrang|JJCS_CCP pagkauhaw|NNC ,|PMC di|RBF na|RBI nakayanang|RBD_CCP umakyat|VBAF ng|CCB ibang|PRI_CCP Cimarron|NNP .|PMP
"
606,"Ang|DTC iba|PRI naman|RBI ay|LM naligaw|VBTS sa|CCT kagubatan|NNC .|PMP
"
607,"Si|DTP Iraga|NNP lang|RBI ang|DTC nakarating|VBTS sa|CCT tuktok|NNC ng|CCB Asog|NNP .|PMP
"
608,"Tiningala|NNP kaagad|RBW niya|PRS ang|DTC langit|NNC .|PMP
"
609,"ΓÇ£|PMS Tulungan|VBOF mo|PRS po|RBS kami|PRP ,|PMC Gugurang|NNC_CCP .|PMP
"
610,"Bigyan|VBOF mo|PRS po|RBS kami|PRP ng|CCB mapagkukunan|VBW ng|CCB tubig|NNC .|PMP
"
611,"Nais|VBS po|RBS naming|PRP_CCP mabuhay|VBW .|PMP
"
612,"ΓÇ¥|PMS Lumiwanag|VBTR ang|DTC langit|NNC at|CCA kumulog|NNC .|PMP
"
613,"ΓÇ£|PMS Ibibigay|VBOF ko|PRS ang|DTC nais|VBS ninyo|PRP ,|PMC ngunit|CCT una|CDB dapat|VBS makapagtanim|VBW kayo|PRP sa|CCT paligid|NNC ng|CCB bukid|NNC at|CCA makapatubo|VBW ng|CCB pananim|NNC .|PMP
"
614,"Kung|RBK hindi|RBF ,|PMC puputok|VBTF ang|DTC Asog|NNP .|PMP
"
615,"At|CCA kakailanganin|VBTF ninyong|NNC_CCP kaagad|RBD na|CCP lisanin|VBOF ang|DTC Sumagang|VBAF .|PMP
"
616,"ΓÇ¥|PMS Nagmamadaling|RBD_CCP bumaba|VBAF si|DTP Iraga|NNP pabalik|VBW sa|CCT kanilang|PRSP_CCP tribo|NNC .|PMP
"
617,"Kumuha|VBAF sila|PRP ng|CCB mga|DTCP pananim|NNC galing|RBL sa|CCT karatig|JJD na|CCP lugar|NNC ng|CCB Sumagang|NNP .|PMP
"
618,"Tinaniman|VBTS nila|PRP ang|DTC paligid|JJD ng|CCB bundok|NNC ,|PMC ngunit|CCT nagsilantahan|VBTS din|RBI dahil|CCR sa|CCT sobrang|JJCS_CCP init|NNC .|PMP
"
619,"Nawawalan|VBTR na|RBI ng|CCB pag|CCR -|PMS asa|NNC ang|DTC mga|DTCP Cimarron|NNP .|PMP
"
620,"Kaya|CCR ,|PMC naisipan|VBTS na|RBI ni|DTP Apo|NNP Iraya|NNP na|CCP lisanin|VBOF ang|DTC Sumagang|NNC_CCP bago|RBW pa|RBI sila|PRP abutan|VBOF ng|CCB pagputok|NNC .|PMP
"
621,"Ayaw|RBF iwan|VBOF ni|DTP Iraga|NNP ang|DTC Sumagang|VBAF .|PMP
"
622,"Malakas|JJD ang|DTC loob|NNC niya|PRS na|CCP makakapatubo|VBW siya|PRS ng|CCB pananim|NNC .|PMP
"
623,"ΓÇ£|PMS Kung|CCR iyan|PRO ang|DTC tingin|NNC mong|PRS_CCP makabubuti|VBW sa|CCT lahat|PRI .┬á.┬á.|NNPA Ilayo|NNP ka|PRS nawa|VBTS ni|DTP Gugurang|NNP sa|CCT kapahamakan|NNC .|PMP
"
624,"Alam|VBS mo|PRS naman|RBI kung|RBK saan|RBQ kami|PRP hahanapin|VBTF ,|PMC ΓÇ¥|PMS utos|NNC ni|DTP Apo|NNP Iraya|NNP .|PMP
"
625,"Patuloy|RBD na|CCP nagtanim|VBTS si|DTP Iraga|NNP .|PMP
"
626,"Noong|RBW_CCP nagsimula|VBTS na|CCP naman|RBI silang|PRP_CCP malanta|VBW ,|PMC ginamit|VBOF na|CCP niyang|PRS_CCP pandilig|JJD ang|DTC natitira|VBTR niyang|PRS_CCP inuming|NNC -|PMS tubig|NNC .|PMP
"
627,"Hanggang|RBW sa|CCT biglang|JJD_CCP kumulog|NNC at|CCA kumidlat|NNC .|PMP
"
628,"Natakpan|VBTS ng|CCB maitim|JJD na|CCP ulap|NNC ang|DTC Asog|NNP .|PMP
"
629,"Nagsimula|VBTS ring|RBI_CCP bumuhos|VBAF ang|DTC tubig|NNC mula|RBL sa|CCT itaas|JJD ng|CCB bukid|NNC .|PMP
"
630,"Sinabayan|VBOF pa|RBI ito|PRO ng|CCB malakas|JJD na|CCP pag|CCR -|PMS ulan|NNC .|PMP
"
631,"Nalubog|VBTS sa|CCT tubig|NNC ang|DTC buong|PRI_CCP Sumagang|VBAF .|PMP
"
632,"Nakatakas|VBTS naman|RBI kaagad|RBD si|DTP Iraga|NNP bago|RBW pa|RBI man|RBI siya|PRS abutan|VBOF ng|CCB baha|NNC .|PMP
"
633,"Masaya|NNP naman|RBI siyang|PRS_CCP sinalubong|VBTS ni|DTP Apo|NNP Iraya|NNP at|CCA iba|PRI pa|RBI niyang|PRS_CCP katribo|NNC .|PMP
"
634,"Pagkatapos|VBW ng|CCB baha|NNC ,|PMC nagsulputan|VBTR ang|DTC mga|DTCP bukal|NNC ,|PMC talon|NNC ,|PMC at|CCA batis|NNC sa|CCT iba|PRI '|PMS t|NNCA ibang|PRI_CCP bahagi|NNC ng|CCB Sumagang|NNP .|PMP
"
635,"Matatanaw|VBTF sa|CCT itaas|JJD ng|CCB Asog|NNP ang|DTC dalawang|JJN_CCP malalawak|JJD na|CCP lawa|NNC .|PMP
"
636,"Nakabalik|VBTS ang|DTC mga|DTCP Cimarron|NNP sa|CCT Sumagang|NNP .|PMP
"
637,"Napansin|VBTS nila|PRP na|CCP nabuhay|VBTS ang|DTC mga|DTCP itinanim|VBTS ni|DTP Iraga|NNP .|PMP
"
638,"Kaya|CCR ,|PMC nag|VBTS -|PMS alay|NNC sila|PRP ng|CCB pasasalamat|RBS kay|DTP Gugurang|NNP .|PMP
"
639,"Simula|RBW noon|RBW ,|PMC naging|VBTS sagana|JJD na|CCP sa|CCT tubig|NNC ang|DTC Sumagang|VBAF at|CCA marami|PRI nang|CCB tao|NNC ang|DTC nagnais|VBTS na|CCP tumira|VBAF doon|PRL .|PMP
"
640,"ΓÇ£|PMS Bukas|JJD ,|PMC lalangoy|VBTF tayo|PRP papunta|VBW sa|CCT ibabaw|JJD ng|CCB dagat|NNC ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Mam|NNP .|PMP
"
641,"Sa|CCT sobrang|JJCS_CCP saya|NNC ,|PMC gumalaw|VBAF -|PMS galaw|NNC ang|DTC buntot|NNC ng|CCB aking|PRSP_CCP mga|DTCP kaklase|NNC .|PMP
"
642,"ΓÇ£|PMS Pani|JJD ,|PMC paunahan|VBOF tayo|PRP nila|PRP Dayday|NNP bukas|JJD ,|PMC ΓÇ¥|CDB hamon|NNC ni|DTP Bisel|NNP .|PMP
"
643,"ΓÇ£|PMS Ay|FW ,|PMC ay|LM ,|PMC ay|LM !|PMQ
"
644,"Sigurado|NNP talo|NNC ko|PRS kayo|PRP ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Dayday|NNP .|PMP
"
645,"ΓÇ£|PMS Ipapaalam|VBTF_VBOF ko|PRS agad|RBW kay|DTP Ate|NNP Lani|NNP pagdating|VBW ko|PRS .|PMP
"
646,"ΓÇ¥|PMS ΓÇ£|CDB Pupunta|VBTF kami|PRP sa|CCT ibabaw|NNC bukas|JJD !|PMS
"
647,"ΓÇ¥|PMS Iyan|NNC lamang|RBI ang|DTC nasa|RBL isip|NNC ko|PRS habang|RBW matulin|JJD ang|DTC paggapang|NNC_CCP ko|PRS pauwi|NNC .|PMP
"
648,"ΓÇ£|PMS Pupunta|VBTF kami|PRP sa|CCT ibabaw|NNC bukas|JJD !|PMS
"
649,"ΓÇ¥|PMS ΓÇ£|CDB Ate|NNC Lani|NNP !|PMS
"
650,"Ate|NNP Lani|NNP !|PMS
"
651,"ΓÇ¥|PMS ΓÇ£|CDB O|NNPA kamusta|NNC ang|DTC .┬á.┬á.|NNPA ?|PMQ
"
652,"Hindi|RBF na|CCP natapos|VBTS ang|DTC tanong|NNC niya|PRS sa|CCT akin|PRSP .|PMP
"
653,"ΓÇ£|PMS Ate|NNC Lani|NNC ,|PMC sabi|VBS ni|DTP mam|NNC ,|PMC mag|VBW -|PMS aaral|FW daw|RBI kaming|PRP_CCP lumangoy|VBAF papuntang|RBL_CCP ibabaw|JJD ng|CCB dagat|NNC bukas|JJD ,|PMC ΓÇ¥|PMS excited|FW niyang|PRS_CCP tugon|NNC .|PMP
"
654,"ΓÇ£|PMS Nakikita|VBTR kaya|CCR ang|DTC sikat|JJD ng|CCB araw|NNC ?|PMQ
"
655,"Totoo|RBT kayang|RBD_CCP malakas|JJD ang|DTC alon|NNC ?|PMQ
"
656,"Nandoon|VBTS kaya|CCR ang|DTC pating|NNC ?|PMQ
"
657,"Baka|NNP makakita|VBW na|CCP talaga|RBT ako|PRS ng|CCB barko|NNC ,|PMC ΓÇ¥|PMS sunod|JJD -|PMS sunod|JJD na|CCP tanong|NNC_CCP ko|PRS .|PMP
"
658,"Napatigil|VBTS ako|PRS sa|CCT ginagawa|VBTR ko|PRS nang|RBW makita|VBW kong|PRS_CCP hindi|RBF siya|PRS excited|FW katulad|JJC ko|PRS .|PMP
"
659,"ΓÇ£|PMS Pani|JJD ,|PMC paano|PRQ ka|PRS makakalangoy|VBTF paibabaw|JJD ?|PMQ
"
660,"ΓÇ¥|PMS nag|CDB -|PMS aalala|VBTF niyang|PRS_CCP tanong|NNC .|PMP
"
661,"Hindi|RBF ako|PRS nakasagot|VBTS kaya|CCR dahan|NNC -|PMS dahan|NNC akong|PRS_CCP gumapang|VBAF paalis|JJD .|PMP
"
662,"Tinulungan|VBOF niya|PRS akong|PRS_CCP maghanap|VBW ng|CCB mga|DTCP pwedeng|RBT_CCP gamitin|VBOF .|PMP
"
663,"Gumawa|VBAF kami|PRP ng|CCB mahabang|JJD_CCP buntot|NNC galing|RBL sa|CCT ulam|NNC naming|PRP_CCP pasayan|NNC .|PMP
"
664,"Tanggalin|VBOF ang|DTC ulo|NNC at|CCA pagtagpi|NNC -|PMS tagpiin|NNC ang|DTC balat|NNC at|CCA ikonekta|VBOF upang|CCB maging|VBW bunot|NNC .|PMP
"
665,"ΓÇ£|PMS Pwede|RBT na|CCP to|FW !|PMS
"
666,"ΓÇ¥|PMS Ginaya|VBOF pa|RBI namin|PRP ang|DTC porma|NNC ng|CCB ibang|PRI_CCP isda|NNC gamit|VBS ang|DTC shell|FW at|CCA kagat|NNC ng|CCB alimasag|NNC .|PMP
"
667,"Ang|DTC shell|FW ang|DTC ginawang|VBTS_CCP katawan|NNC .|PMP
"
668,"Ang|DTC kagat|NNC ang|DTC ginawang|VBTS_CCP ulo|NNC at|CCA buntot|NNC .|PMP
"
669,"Malaki|JJD at|CCA maliit|JJD ang|DTC bawat|PRI dulo|NNC .|PMP
"
670,"Dagdagan|VBTF pa|RBI daw|RBI namin|PRP .|PMP
"
671,"ΓÇ£|PMS Ay|FW !|PMS
"
672,"Alam|VBS ko|PRS na|CCP !|PMS
"
673,"ΓÇ¥|PMS Gawin|VBOF kaya|CCR naming|PRP_CCP parang|CCT elesi|NNC ang|DTC mga|DTCP kabibe|NNC ?|PMQ
"
674,"Iikot|VBTF ito|PRO at|CCA pwede|RBT akong|PRS_CCP dalhin|VBOF paitaas|RBD .|PMP
"
675,"Ididikit|NNP ang|DTC isa|PRI sa|CCT likod|JJD ko|PRS ,|PMC sa|CCT gilid|JJD ,|PMC pati|CCA na|CCP sa|CCT baba|JJD .|PMP
"
676,"ΓÇ£|PMS Bukas|JJD ,|PMC lalangoy|VBTF kami|PRP palabas|NNC ng|CCB dagat|NNC .|PMP
"
677,"ΓÇ¥|PMS Kasama|CCB si|DTP Ate|NNP Lani|NNP ,|PMC maaga|JJD pa|RBI kaming|PRP_CCP nagpunta|VBTS sa|CCT paaralan|NNC upang|CCB ipakita|VBOF kay|DTP mam|NNC ang|DTC aming|PRSP_CCP ginawa|VBOF .|PMP
"
678,"ΓÇ£|PMS Mam|NNC ,|PMC may|VBH ginawa|VBOF po|RBS kaming|PRP_CCP buntot|NNC galing|RBL sa|CCT balat|NNC ng|CCB pasayan|NNC .|PMP
"
679,"Ikakabit|VBOF ko|PRS lang|RBI ito|PRO ,|PMC at|CCA makakalangoy|VBTF na|CCP po|RBS ako|PRS ,|PMC ΓÇ¥|PMS masayang|JJD_CCP balita|NNC ko|PRS kay|DTP mam|NNCA .|PMP
"
680,"Sinubukan|VBTS kong|PRS_CCP lumangoy|VBAF ngunit|CCT mabigat|JJD .|PMP
"
681,"Hindi|RBF pataas|JJD kundi|CCT pababa|JJD ang|DTC aking|PRSP_CCP langoy|NNC .|PMP
"
682,"ΓÇ£|PMS Pani|JJD ,|PMC hindi|RBF pwede|RBT ang|DTC balat|NNC ng|CCB pasayan|NNC ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP mam|NNC .|PMP
"
683,"ΓÇ£|PMS May|VBH dala|JJD pa|RBI po|RBS ako|PRS .|PMP
"
684,"Parehas|JJD ito|PRO ng|CCB porma|NNC ni|DTP Bisel|NNP at|CCA Dayday|NNP .|PMP
"
685,"Malaki|JJD ang|DTC katawan|NNC at|CCA sa|CCT bawat|PRI dulo|NNC ay|LM buntot|NNC at|CCA ulo|NNC .|PMP
"
686,"Ginamit|VBOF namin|PRP ang|DTC shell|FW at|CCA kagat|NNC ng|CCB alimasag|NNC .|PMP
"
687,"Sinuot|VBOF ko|PRS ang|DTC dala|JJD namin|PRP .|PMP
"
688,"ΓÇ£|PMS Aray|NNP !|PMS
"
689,"aray|FW !|PMS
"
690,"Ang|DTC sakit|NNC !|PMS
"
691,"ΓÇ¥|PMS Hindi|RBF pala|NNC kasya|NNC ang|DTC katawan|NNC ko|PRS .|PMP
"
692,"Sa|CCT halip|CCT na|CCP makalangoy|VBW ay|LM nasugatan|VBTS pa|RBI ako|PRS .|PMP
"
693,"ΓÇ£|PMS Pani|JJD ,|PMC matulis|JJD ang|DTC kagat|NNC at|CCA shell|FW ng|CCB alimasag|NNC .|PMP
"
694,"Hindi|RBF ΓÇÿ|PMS yan|PRO pwedeng|RBT_CCP gamitin|VBOF sa|CCT paglangoy|VBW at|CCA masasaktan|VBW ka|PRS lang|RBI ,|PMC ΓÇ¥|CDB mainam|JJD na|CCP paliwanag|NNC ni|DTP Mam|NNP .|PMP
"
695,"ΓÇ£|PMS May|VBH isa|PRI pa|RBI po|RBS ,|PMC Mam|NNCA .|PMP
"
696,"ΓÇ¥|PMS Dala|VBS ko|PRS ang|DTC mga|DTCP kabibe|NNC na|CCP ginawa|VBOF naming|PRP_CCP parang|CCT elesi|NNC .|PMP
"
697,"ΓÇ£|PMS Pa|NNC g|NNCA -|PMS umikot|VBAF ito|PRO ,|PMC pwede|RBT na|CCP akong|PRS_CCP dalhin|VBOF pataas|JJD .|PMP
"
698,"Ididikit|VBOF ko|PRS lang|RBI sa|CCT aking|PRSP_CCP likod|JJD ,|PMC gilid|JJD ,|PMC at|CCA baba|JJD .|PMP
"
699,"ΓÇ¥|PMS Nadala|VBTS nga|RBI ako|PRS ng|CCB mga|DTCP elesi|NNC ,|PMC ngunit|CCT hindi|RBF pataas|JJD kundi|CCT sa|CCT iba|PRI -|PMS ibang|PRI_CCP direksyon|NNC .|PMP
"
700,"ΓÇ£|PMS Pani|JJD ,|PMC ang|DTC elesi|NNC nagpapalakas|VBTR ng|CCB alon|NNC hindi|RBF makakatulong|VBTF sa|CCT paglangoy|NNC ,|PMC ΓÇ¥|PMS mahinang|JJD_CCP sabi|VBS ni|DTP Mam|NNP .|PMP
"
701,"Akala|VBS ko|PRS pwedeng|RBT_CCP -|PMS pwede|VBS na|CCP ,|PMC ngunit|CCT hindi|RBF pa|RBI rin|RBI ako|PRS nakakalangoy|VBTR .|PMP
"
702,"Siguro|RBM dahan|NNC -|PMS dahan|NNC silang|PRP_CCP lalangoy|VBTF pa|RBI ibabaw|JJD .|PMP
"
703,"Makikita|VBTF nila|PRP ang|DTC bilog|JJD na|CCP katawan|NNC ng|CCB barko|NNC at|CCA malalaking|JJD_CCP pating|NNC .|PMP
"
704,"Mararamdaman|VBTF nila|PRP ang|DTC malakas|JJD na|CCP alon|NNC at|CCA sikat|JJD ng|CCB araw|NNC .|PMP
"
705,"ΓÇ£|PMS Titingala|VBTS nalang|VBTS_CCP ba|RBI ako|PRS at|CCA maghihintay|VBTF sa|CCT kanilang|PRSP_CCP pagbalik|NNC ?|PMQ
"
706,"Isda|NNC naman|RBI ako|PRS ,|PMC ngunit|CCT bakit|PRQ di|RBF ako|PRS nakakalangoy|VBTR .|PMP
"
707,"ΓÇ¥|PMS ΓÇ£|CDB Pumila|VBAF na|RBI nang|RBW maayos|JJD upang|CCB masimulan|VBW na|CCP natin|PRP ang|DTC paglangoy|NNC paibabaw|NNC ,|PMC ΓÇ¥|PMS wika|NNC ni|DTP Mam|NNP .|PMP
"
708,"ΓÇ£|PMS Huminga|VBOF gamit|VBS ang|DTC hasang|NNC_CCP ,|PMC tumingin|VBAF sa|CCT unahan|CDB ,|PMC sa|CCT kanan|JJD ,|PMC at|CCA sa|CCT kaliwa|JJD upang|CCB di|RBF mabunggo|VBW ,|PMC ΓÇ¥|PMS dagdag|JJD pa|RBI niya|PRS .|PMP
"
709,"ΓÇ£|PMS Pani|JJD ,|PMC paunahan|RBD tayo|PRP nina|DTPP Dayday|NNP ,|PMC ΓÇ¥|CDB sigaw|NNC ni|DTP Bisel|NNP .|PMP
"
710,"ΓÇ£|PMS Ay|FW ,|PMC ay|LM ,|PMC ay|LM !|PMQ
"
711,"Sigurado|NNP talo|NNC ko|PRS kayo|PRP ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Dayday|NNP .|PMP
"
712,"ΓÇ£|PMS Bakit|PRQ hindi|RBF ako|PRS katulad|JJC ng|CCB mga|DTCP kaklase|NNC kong|PRS_CCP magaling|JJD lumangoy|VBAF ?|PMQ
"
713,"Ang|DTC kaya|CCR ko|PRS lang|RBI ay|LM gumapang|VBAF sa|CCT ilalim|JJD ng|CCB dagat|NNC .|PMP
"
714,"ΓÇ¥|PMS ΓÇ£|CDB Dayday|NNP !|PMS
"
715,"Pani|NNP !|PMS
"
716,"Subukan|VBOF natin|PRP ang|DTC tinuro|VBOF ni|DTP Mam|NNP !|PMS
"
